"","brachythecium rutabulum","bryum capillare","ceratodon purpureus","dicranum scoparium","eurhynchium striatum","frullania dilatata","hypnum cupressiforme","isothecium myosuroides","metzgeria furcata","metzgeria simplex","mnium hornum","ortho dicranum montanum","orthotrichum affine","plagiothecium laetum","scapania nemorosa cf.","thuidium tamariscinum","ulota crispa","x"
"AS_P26",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"BP_P17",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"CB_P03",1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
"CB_P25",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"FS_P02",1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
"FS_P03",1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
"FS_P04",1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1
"FS_P05",1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"FS_P06",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"FS_P22",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"FS_P23",0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
"FS_P24",0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"LD_P21",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"LD_P25",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"PA_P06",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"PA_P27",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"PA_P28",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"PA_P29",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"PM_P17",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"PM_P18",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"PM_P19",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"PM_P20",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"QP_P02",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"QP_P03",1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
"QP_P17",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"QP_P22",1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"QP_P23",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"QP_P24",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SA_P25",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"XXP26",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
