"","atrichum undulatum","brachythecium rutabulum","bryum capillare","ceratodon purpureus","dicranella heteromalla","dicranum scoparium","ditrichum heteromalla cf","eurhynchium praelongum","eurhynchium striatum","frullania dilatata","herzogiella seligeri","hylocomium splendens","hypnum cupressiforme","isothecium myosuroides","metzgeria furcata","metzgeria simplex","mnium hornum","ortho dicranum montanum","orthotrichum affine","plagiomnium affine","plagiomnium affine cf.","plagiomnium undulatum","plagiothecium laetum","pleurozium schreberi","polytrichum formosum","rhizomnium punctatum","rhytidiadelphus squarrosus","scapania nemorosa cf.","scleropodium purum","thuidium tamariscinum","ulota crispa","x"
"DW01P02",0,37.5,0,0,0,0.5,0,0,0,0,0,0,87.5,0,0,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DW01P03",0,37.5,0,0,0,0.1,0,0,0,0,0,0,37.5,15,0.1,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0
"DW01P04",0,15,0,0,0,0.1,0,0,0,0,0,0,87.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DW01P05",0,0,0,0,0,0,0,0.1,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0
"DW01P06",0,62.5,0,0,0,0.1,0,0,0,0,0,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
"DW01P17",0,0,0,0,0,0,0,0.5,2.5,0,0.1,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DW01P18",0,0,0,0,0,0,0,0,0.1,0,0.1,0,87.5,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
"DW01P19",0,0.1,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0
"DW01P20",0,0,0,0,0,0.5,0.1,0,0.5,0,0,0,87.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DW01P21",0,0,0,0.5,0,0.1,0,0,0,0,0,0,62.5,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0
"DW01P22",0,15,0,0,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DW01P23",0,15,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DW01P24",0,37.5,0,0,0,0.1,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DW01P25",0,2.5,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,62.5,0,0,0.5,0,0
"DW01P26",0,15,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DW01P27",0,0,0,0,0,0.1,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DW01P28",0,87.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DW01P29",62.5,2.5,0,0,0.1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP01P02",0,0.5,0,0,0,0.1,0,0,0,0,0,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP01P03",0,2.5,0.1,0,0,0,0,0,0,0,0,0,18.8,15,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"EP01P04",0,0.1,0,0,0,0,0,0,0,0.1,0,0,22.5,0,0,0.1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
"EP01P05",0,0.5,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0.3,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP01P06",0,0.5,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP01P17",0,0.1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1.03333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"EP01P18",0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
"EP01P19",0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP01P20",0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP01P21",0,0,0,0.5,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP01P22",0,0.1,0,0,0,0.1,0,0,0,0,0,0,37.5,0,0,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP01P23",0,0,0,0,0,0,0,0,0,0.1,0,0,7.75,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.1,0,0,0,0
"EP01P24",0,0,0,0,0,0.1,0,0,0,0,0,0,62.5,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP01P25",0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP01P26",0,0,0,0,0,0,0,0,0,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP01P27",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP01P28",0,0.5,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP01P29",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP02P02",0,0.1,0,0,0,0,0,0,0,0,0,0,26.25,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1
"EP02P03",0,15,0,0,0,0,0,0,0,0,0,0,8.75,0.5,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,18.8
"EP02P06",0,0.5,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,0,0,10.1666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP02P17",0,0,0,0,0,0.1,0,0,0,0,0,0,2.5,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP02P22",0,0,0,0,0,0,0,0,0,0,0,0,8.75,0,0,0,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP02P23",0,0.5,0,0,0,0,0,0,0,0,0,0,20,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP02P24",0,0.5,0,0,0,0,0,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP02P25",0,0,0,0,0,0,0,0,0,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
"EP02P26",0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP02P29",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP03P03",0,0.1,0,0,0,0,0,0,0,0,0,0,5.33333333333333,0,2.5,0,0,0,10.8333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.3
"EP03P17",0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP03P25",0,0,0,0,0,0,0,0,2.5,0,0,0,20,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"EP04P17",0,0,0,0,0,0,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SL01P03",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
"SL01P06",0.5,2.5,0,0,0,0.1,0,0.5,0,0,0,0,0.5,0,0,0,0.1,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0
"SL01P17",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
"SL01P19",0.1,0,0,0,0,0.1,0,0,2.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,15,15,0,2.5,0,0,0
"SL01P20",0,0,0,0,0,0,0,0.1,15,0,0.1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.1,0,15,0,0,0
"SL01P21",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0
"SL01P22",0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"SL01P23",0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
"SL01P24",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0
"SL01P25",0,0,0,0,0,2.5,0,0,2.5,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,2.5,0,0.5,0,0,0
"SL01P26",0,0.5,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0
"SL01P27",0,37.5,0,0,0,0.5,0,0,2.5,0,0,0,0.1,0,0,0,0,0,0,0,0,15,0,0,2.5,0,0,0,2.5,0,0,0
"SL01P28",0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SL01P29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0
