	FIP29	BUP05	BUP06	DGP17	EIP02	BUP04	DGP20	LAP21	CLP25	DGP19	FIP27	EIP03	XXP26	EIP24	EIP23	EIP22	FIP28	DGP18
plagiomnium undulatum	0	0	500	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	0
ditrichum heteromalla cf	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0
pleurozium schreberi	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
rhizomnium punctatum	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	0	0
metzgeria furcata	0	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0
hylocomium splendens	0	0	0	0	0	0	0	0	3000	0	0	0	0	0	0	0	0	0
plagiothecium laetum	0	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
frullania dilatata	0	0	0	0	0	100	0	0	0	0	0	0	0	0	100	0	0	0
metzgeria simplex	0	100	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0
bryum capillare	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0
ceratodon purpureus	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0
dicranella heteromalla	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thuidium tamariscinum	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
scapania nemorosa cf.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
isothecium myosuroides	0	0	0	0	100	0	0	0	0	0	0	1000	0	0	1000	0	0	0
atrichum undulatum	4000	0	500	100	0	0	0	0	0	100	0	100	0	100	500	500	100	0
dicranum scoparium	0	0	100	100	100	100	500	100	1000	100	100	100	0	100	0	100	0	0
eurhynchium praelongum	0	100	500	500	0	0	100	0	0	0	0	0	1000	0	0	0	100	0
orthotrichum affine	0	1000	1000	500	100	1000	0	100	100	0	0	1000	0	100	500	100	0	0
eurhynchium striatum	0	0	0	1000	0	0	1000	0	1000	1000	1000	0	1000	0	0	0	0	100
polytrichum formosum	1000	0	100	0	0	0	0	100	100	1000	1000	100	1000	1000	100	500	0	0
scleropodium purum	0	0	0	0	0	0	2000	1000	500	1000	1000	0	0	0	0	0	0	0
rhytidiadelphus squarrosus	0	0	0	0	0	0	100	2000	2000	1000	0	0	0	0	0	0	0	0
herzogiella seligeri	0	0	0	100	0	0	100	0	0	100	0	0	0	0	0	0	0	100
mnium hornum	0	0	100	0	500	500	0	0	0	0	0	0	0	0	0	100	0	0
ortho dicranum montanum	0	0	0	100	100	500	500	0	0	0	100	0	0	100	0	100	0	0
x	0	0	0	100	100	100	0	0	0	0	0	1000	0	0	0	0	0	0
plagiomnium affine	0	0	0	100	0	0	500	0	0	100	0	0	0	0	0	0	0	0
plagiomnium affine cf.	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ulota crispa	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0
brachythecium rutabulum	1000	500	2000	100	1000	1000	0	0	1000	100	3000	1000	1000	1000	1000	1000	2000	0
hypnum cupressiforme	1000	2000	2000	2000	3000	3000	3000	2000	1000	3000	2000	1000	1000	3000	2000	2000	500	3000
