	DGP19	LAP21	DGP20	FIP27	CLP25	XXP26	EIP24	FIP29	BUP06	EIP03	DGP17	FIP28	EIP23	EIP22
atrichum undulatum	r	0	0	0	0	0	r	0	0	r	r	r	0	0
herzogiella seligeri	r	0	r	0	0	0	0	0	0	0	0	0	0	0
hypnum cupressiforme	0	0	0	r	0	0	0	0	0	0	0	0	0	r
isothecium myosuroides	0	0	0	0	0	0	0	0	0	r	0	0	0	0
mnium hornum	0	0	0	0	0	0	0	0	r	0	0	0	0	0
plagiomnium affine	0	0	0	0	0	0	0	0	0	0	r	0	0	0
plagiomnium affine cf.	0	0	0	0	0	0	0	0	0	0	r	0	0	0
pleurozium schreberi	0	0	0	0	r	0	0	0	0	0	0	0	0	0
eurhynchium praelongum	0	0	r	0	0	1	0	0	0	0	0	r	0	0
hylocomium splendens	0	0	0	0	3	0	0	0	0	0	0	0	0	0
brachythecium rutabulum	0	0	0	3	0	0	r	0	1	0	r	r	0	0
plagiomnium undulatum	0	0	0	2	0	0	0	0	0	0	0	0	0	0
polytrichum formosum	1	0	0	1	r	1	1	1	0	r	0	0	r	0
eurhynchium striatum	1	0	2	1	1	1	0	0	0	0	0	0	0	0
scleropodium purum	1	2	2	1	0	0	0	0	0	0	0	0	0	0
rhytidiadelphus squarrosus	2	2	r	0	1	0	0	0	0	0	0	0	0	0
rhizomnium punctatum	2	0	0	0	0	0	0	0	0	0	0	0	0	0
dicranum scoparium	r	0	0	0	1	0	0	0	r	0	0	0	0	0
