"","CL_P25","FS_P04","FS_P05","FS_P06","LD_P21","PA_P27","PA_P28","PA_P29","PM_P17","PM_P18","PM_P19","PM_P20","QP_P02","QP_P03","QP_P22","QP_P23","QP_P24","XX_P26"
"atrichum undulatum"," "," "," ","+"," "," ","r","4","r"," ","r"," "," ","r","+","+","r"," "
"brachythecium rutabulum","1","1","+","2"," ","3","2","1","r"," ","r"," ","1","1","1","1","1","1"
"bryum capillare"," "," "," "," "," "," "," "," "," "," "," "," "," ","r"," "," "," "," "
"ceratodon purpureus"," "," "," "," ","+"," "," "," "," "," "," "," "," "," "," "," "," "," "
"dicranella heteromalla"," "," "," "," "," "," "," ","r"," "," "," "," "," "," "," "," "," "," "
"dicranum scoparium","1","r"," ","r","r","r"," "," ","r"," ","r","+","r","r","r"," ","r"," "
"ditrichum heteromalla cf"," "," "," "," "," "," "," "," "," "," "," ","r"," "," "," "," "," "," "
"eurhynchium praelongum"," "," ","r","+"," "," ","r"," ","+"," "," ","r"," "," "," "," "," ","1"
"eurhynchium striatum","1"," "," "," "," ","1"," "," ","1","r","1","1"," "," "," "," "," ","1"
"frullania dilatata"," ","r"," "," "," "," "," "," "," "," "," "," "," "," "," ","r"," "," "
"herzogiella seligeri"," "," "," "," "," "," "," "," ","r","r","r","r"," "," "," "," "," "," "
"hylocomium splendens","3"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"hypnum cupressiforme","1","3","2","2","2","2","+","1","2","3","3","3","3","1","2","2","3","1"
"isothecium myosuroides"," "," "," "," "," "," "," "," "," "," "," "," ","r","1"," ","1"," "," "
"metzgeria furcata"," "," "," "," "," "," "," "," "," "," "," "," "," ","2"," "," "," "," "
"metzgeria simplex"," ","r","r"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"mnium hornum"," ","+"," ","r"," "," "," "," "," "," "," "," ","+"," ","r"," "," "," "
"ortho dicranum montanum"," ","+"," "," "," ","r"," "," ","r"," "," ","+","r"," ","r"," ","r"," "
"orthotrichum affine","r","1","1","1","r"," "," "," ","+"," "," "," ","r","1","r","+","r"," "
"plagiomnium affine"," "," "," "," "," "," "," "," ","r"," ","r","+"," "," "," "," "," "," "
"plagiomnium affine cf."," "," "," "," "," "," "," "," ","r"," "," "," "," "," "," "," "," "," "
"plagiomnium undulatum"," "," "," ","+"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"plagiothecium laetum"," "," ","4"," "," "," "," "," "," ","r"," "," "," "," "," "," "," "," "
"pleurozium schreberi","r"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"polytrichum formosum","r"," "," ","r","r","1"," ","1"," "," ","1"," "," ","r","+","r","1","1"
"rhizomnium punctatum"," "," "," "," "," "," "," "," "," "," ","2"," "," "," "," "," "," "," "
"rhytidiadelphus squarrosus","2"," "," "," ","2"," "," "," "," "," ","1","r"," "," "," "," "," "," "
"scapania nemorosa cf."," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","r"," "," "
"scleropodium purum","+"," "," "," ","1","1"," "," "," "," ","1","2"," "," "," "," "," "," "
"thuidium tamariscinum","r"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"ulota crispa"," ","r"," "," "," "," "," "," "," "," "," "," ","r"," "," "," "," "," "
"x"," ","r"," "," "," "," "," "," ","r"," "," "," ","r","1"," "," "," "," "
