Plot-ID,Date,UTM-E,UTM-N,Height,Habitat
P02,16.5.19,477936,5632190,NA,Eichen Buchen Mischwald
P03,16.5.19,477770,5632252,NA,Eichen Buchen Mischwald
P04,16.5.19,477629,5632168,NA,Junger Buchenwald
P05,16.5.19,477632,5632272,NA,Junger Buchenwald
P06,16.5.19,477610,5632193,NA,Buchenforst
P17,2.7.19,477325,5632013,351,Douglasienforst
P18,2.7.19,477324,5632221,301,Fichtenforst
P19,2.7.19,477222,5632233,331,Fichtenforst
P20,2.7.19,477183,5632197,334,Douglasienforst
P21,2.7.19,477408,5631622,389,Waldlichtung mit L„rchen
P22,4.7.19,477965,5632240,NA,Junger Eichen Buchen Mischwald
P23,4.7.19,477853,5632308,NA,Eichen Buchen Mischwald
P24,4.7.19,477799,5632353,270,Eichen Buchen Mischwald
P25,4.7.19,477716,5632425,313,Waldlichtung mit L„rchen
P26,4.7.19,477251,5632763,255,Douglasienforst
P27,4.7.19,477119,5632272,245,Fichtenforst
P28,4.7.19,477000,5632787,NA,Fichtenforst
P29,4.7.19,477105,5632610,256,Fichtenforst
